root	mode	group	vs_2026_09_17	first_line
package:cmd/compile	interpreted	G1-import-resolution		bash++ import "cmd/compile/internal/amd64": package is not in the reviewed Go standard library
package:cmd/compile/internal/abt	interpreted	G1-import-resolution		src/cmd/compile/internal/abt/avlint32.go:592:4: BASHPP-EASSIGN-TYPE: cannot assign *__gosource_pkg_0_node32 to __gosource_pkg_0_node32
package:cmd/compile/internal/amd64	compiled	G1-import-resolution		src/cmd/compile/internal/amd64/galign.go:12:1: LOWER-EUNDEFINED: undefined: obj
package:cmd/compile/internal/amd64	interpreted	G1-import-resolution		gosource: build dependency bridge: exit status 2: internal/abi.FuncPCABI0·f: relocation target internal/abi.FuncPCABI0 not defined
package:cmd/compile/internal/base	compiled	G1-import-resolution		src/cmd/compile/internal/base/flag.go:300:2: LOWER-EUNDEFINED: undefined: goarch
package:cmd/compile/internal/devirtualize	interpreted	G1-import-resolution		
package:cmd/compile/internal/dwarfgen	compiled	G1-import-resolution		src/cmd/compile/internal/dwarfgen/linenum_test.go:73:3: LOWER-EUNDEFINED: undefined: __gosource_import_5_1
package:cmd/compile/internal/dwarfgen	interpreted	G1-import-resolution		src/cmd/compile/internal/dwarfgen/scope_test.go:515:6: gosource: program exited
package:cmd/compile/internal/importer	interpreted	G1-import-resolution		BASHPP-ECOLLECTION-ELEMENT: cannot use value as map[string]*__gosource_import_0_3_2.Package
package:cmd/compile/internal/inline/inlheur	interpreted	G1-import-resolution		src/cmd/compile/internal/inline/inlheur/analyze_func_callsites.go:21:1: BASHPP-ECOLLECTION-KEY: unsupported map key type __gosource_import_0_2_0.Node
package:cmd/compile/internal/ir	compiled	G1-import-resolution		src/cmd/compile/internal/ir/func.go:426:3: LOWER-EUNDEFINED: undefined: errors
package:cmd/compile/internal/ir	interpreted	G1-import-resolution		function _ redeclared in this session
package:cmd/compile/internal/liveness	interpreted	G1-import-resolution		gosource: build dependency bridge: exit status 2: internal/abi.FuncPCABI0·f: relocation target internal/abi.FuncPCABI0 not defined
package:cmd/compile/internal/logopt	interpreted	G1-import-resolution		BASHPP-EBUILTIN-TYPE: append first argument must be a slice
package:cmd/compile/internal/loopvar	interpreted	G1-import-resolution		BASHPP-EBUILTIN-TYPE: append first argument must be a slice
package:cmd/compile/internal/noder	compiled	G1-import-resolution		src/cmd/compile/internal/noder/irgen.go:113:6: LOWER-EUNDEFINED: undefined: __gosource_import_16_3
package:cmd/compile/internal/noder	interpreted	G1-import-resolution		src/cmd/compile/internal/noder/lex.go:25:2: BASHPP-ECONST-TYPE: const initializer has unsupported type __gosource_import_0_17_10.PragmaFlag
